JAPONICA NIPPONBARE POSITIONS,ASSAY ID,ACCESSION,SUBPOPULATION,MISMATCH,25462764,25463321
"GAO JIAO BAI::IRGC 68047-1::[IRIS 313-10178]",IRIS 313-10178,IRGC 125748,ind1A,0.0,A,A
"GUI HUA ZAO::IRGC 68060-1::[IRIS 313-10179]",IRIS 313-10179,IRGC 125755,indx,0.0,A,A
"DA NUO (ZHAN)::IRGC 72025-1::[IRIS 313-10189]",IRIS 313-10189,IRGC 125723,ind1A,0.0,A,A
"DENG DENG QI::IRGC 72036-1::[IRIS 313-10190]",IRIS 313-10190,IRGC 125726,ind1A,0.0,A,A
"MIN KE ZHAN::IRGC 72230-1::[IRIS 313-10191]",IRIS 313-10191,IRGC 125841,ind1A,0.0,A,A
"GUO DI HEI::IRGC 72697-1::[IRIS 313-10196]",IRIS 313-10196,,trop,0.0,A,A
"BAI HE::IRGC 76438-1::[IRIS 313-10211]",IRIS 313-10211,IRGC 125669,ind1A,0.0,A,A
"BA BAI GU::IRGC 79580-1::[IRIS 313-10221]",IRIS 313-10221,IRGC 125663,indx,0.0,A,A
"TONG GU HONG::IRGC 81026-1::[IRIS 313-10226]",IRIS 313-10226,IRGC 125925,indx,0.0,A,A
"PSBRC 50::IRGC 99706-1::[IRIS 313-10234]",IRIS 313-10234,IRGC 125873,ind1B,0.0,A,A
"PSBRC 86::IRGC 99716-1::[IRIS 313-10237]",IRIS 313-10237,,ind1B,0.0,A,A
"PSBRC 88::IRGC 99717-1::[IRIS 313-10238]",IRIS 313-10238,IRGC 125876,ind1B,0.0,A,A
"LIU XU::IRGC 109232-1::[IRIS 313-10239]",IRIS 313-10239,IRGC 125827,indx,0.0,A,A
"AMISTAD 82::IRGC 116954-1::[IRIS 313-10247]",IRIS 313-10247,IRGC 125949,ind1B,0.0,A,A
"CEA 3::IRGC 116965-1::[IRIS 313-10260]",IRIS 313-10260,IRGC 125957,indx,0.0,A,A
"CUYAMEL 3820::IRGC 116975-1::[IRIS 313-10263]",IRIS 313-10263,IRGC 125961,indx,0.0,A,A
"IA CUBA 17::IRGC 116990-1::[IRIS 313-10271]",IRIS 313-10271,IRGC 125966,indx,0.0,A,A
"ICTA MOTAGUA::IRGC 116995-1::[IRIS 313-10275]",IRIS 313-10275,IRGC 125968,indx,0.0,A,A
"JUMA 62::IRGC 117011-1::[IRIS 313-10279]",IRIS 313-10279,IRGC 126066,indx,0.0,A,A
"ECIA 24-107-1::IRGC 116978-1::[IRIS 313-10293]",IRIS 313-10293,IRGC 125962,ind1B,0.0,A,A
"IR 21015-72-3-3-3-1::IRGC 117004-1::[IRIS 313-10294]",IRIS 313-10294,IRGC 125972,indx,0.0,A,A
"PDR 34-2-1-2::IRGC 117020-1::[IRIS 313-10295]",IRIS 313-10295,IRGC 127065,admix,0.0,A,A
"IRGA 959-1-2-2F-4-1-4A-6-CA-6X::IRGC 117006-1::[IRIS 313-10301]",IRIS 313-10301,IRGC 126064,indx,0.0,A,A
"INIAP 6::IRGC 117002-1::[IRIS 313-10307]",IRIS 313-10307,IRGC 127050,indx,0.0,A,A
"INIAP 10::IRGC 117000-1::[IRIS 313-10314]",IRIS 313-10314,IRGC 125969,indx,0.0,A,A
"CAMPONI::IRGC 116963-1::[IRIS 313-10325]",IRIS 313-10325,IRGC 125956,indx,0.0,A,A
"B 6144-MR-6-0-0::IRGC 117371-1::[IRIS 313-10336]",IRIS 313-10336,,trop,0.0,A,A
"HP 3319-2WX-6-4-1-B::IRGC 117331-1::[IRIS 313-10353]",IRIS 313-10353,IRGC 127049,indx,0.0,A,A
"IR 63295-AC 209-7::IRGC 117365-1::[IRIS 313-10361]",IRIS 313-10361,IRGC 127053,indx,0.0,A,A
"IR 65483-111-5-9-2-11::IRGC 117286-1::[IRIS 313-10366]",IRIS 313-10366,IRGC 125976,indx,0.0,A,A
"IR 69502-6-SRN-3-UBN-1-B::IRGC 117290-1::[IRIS 313-10374]",IRIS 313-10374,IRGC 125979,indx,0.0,A,A
"IR 75870-5-8-5-B-1::IRGC 117297-1::[IRIS 313-10385]",IRIS 313-10385,IRGC 126062,ind1B,0.0,A,A
"IR 80310-12-B-1-3-B::IRGC 117307-1::[IRIS 313-10394]",IRIS 313-10394,IRGC 125986,indx,0.0,A,A
"IR 80340-23-B-12-6-B::IRGC 117309-1::[IRIS 313-10396]",IRIS 313-10396,IRGC 125987,indx,0.0,A,A
"IRGA 370-42-1-1F-C-1::IRGC 117343-1::[IRIS 313-10401]",IRIS 313-10401,IRGC 125989,ind1B,0.0,A,A
"IRGA 411-1-6-1F-A::IRGC 117344-1::[IRIS 313-10402]",IRIS 313-10402,IRGC 125990,ind1B,0.0,A,A
"PULUTHI KARAN (MIXED)::IRGC 77530-1::[IRIS 313-8306]",IRIS 313-8306,,indx,0.0,A,A
"ARC 11867::IRGC 40978-1::[IRIS 313-8315]",IRIS 313-8315,,indx,0.0,A,A
"ARC 15091::IRGC 43048-1::[IRIS 313-8332]",IRIS 313-8332,IRGC 126298,indx,0.0,A,A
"ARC 18202::IRGC 42328-1::[IRIS 313-8414]",IRIS 313-8414,IRGC 126175,indx,0.0,A,A
"KUNENG::IRGC 71545-1::[IRIS 313-8492]",IRIS 313-8492,IRGC 126226,ind3,0.0,A,A
"DHANE BURWA::IRGC 10105-1::[IRIS 313-8530]",IRIS 313-8530,IRGC 126199,ind2,0.0,A,A
"SINERBESA::IRGC 38711-1::[IRIS 313-8567]",IRIS 313-8567,,ind3,0.0,A,A
"AC 13 (T 141)::IRGC 5456-1::[IRIS 313-8606]",IRIS 313-8606,IRGC 131926,ind3,0.0,A,A
"Na souan::IRGC 11889-1::[IRIS 313-8638]",IRIS 313-8638,IRGC 126250,ind3,0.0,A,A
"CO 19::IRGC 5905-1::[IRIS 313-8657]",IRIS 313-8657,IRGC 135525,indx,0.0,A,A
"BALASURIYA A::IRGC 66509-1::[IRIS 313-8699]",IRIS 313-8699,IRGC 126178,indx,0.0,A,A
"KUTAI PAYA::IRGC 19528-1::[IRIS 313-8723]",IRIS 313-8723,IRGC 126033,ind3,0.0,A,A
"SINNA SITHIRA KALI::IRGC 51064-1::[IRIS 313-9091]",IRIS 313-9091,IRGC 124442,indx,0.0,,A
"DHOLA AMAN (LOWLAND AMAN)::IRGC 8341-1::[IRIS 313-9156]",IRIS 313-9156,IRGC 126200,ind2,0.0,A,A
"THIERNO BANDE::IRGC 16009-1::[IRIS 313-9160]",IRIS 313-9160,IRGC 125922,ind3,0.0,A,A
"MACAN BINUNDOK::IRGC 8245-1::[IRIS 313-9243]",IRIS 313-9243,IRGC 126239,indx,0.0,A,A
"KANU DAM::IRGC 29755-1::[IRIS 313-9249]",IRIS 313-9249,IRGC 125794,temp,0.0,A,A
"RADEN SAWO 1::IRGC 57578-1::[IRIS 313-9273]",IRIS 313-9273,,ind3,0.0,A,A
"LUA CHAN HUONG::IRGC 16800-1::[IRIS 313-9342]",IRIS 313-9342,IRGC 126236,ind3,0.0,A,A
"GUMPANGAR::IRGC 71524-1::[IRIS 313-9409]",IRIS 313-9409,IRGC 131937,ind3,0.0,A,A
"SADOK::IRGC 13334-1::[IRIS 313-9582]",IRIS 313-9582,IRGC 131917,ind3,0.0,A,A
"PA KABAKIE::IRGC 58541-1::[IRIS 313-9687]",IRIS 313-9687,,indx,0.0,A,A
"ROJOFOTSY::IRGC 69402-1::[IRIS 313-9740]",IRIS 313-9740,IRGC 126083,ind2,0.0,A,A
"EX EBOKOZURU::IRGC 79912-1::[IRIS 313-10109]",IRIS 313-10109,IRGC 125735,ind3,0.0,A,A
"UQUIHUA::IRGC 117037-1::[IRIS 313-10287]",IRIS 313-10287,IRGC 127068,ind1B,0.0,A,A
"RUSTIC::IRGC 117026-1::[IRIS 313-10318]",IRIS 313-10318,IRGC 126085,indx,0.0,A,A
"IR 31142-14-1-1-3-1-1-2::IRGC 117378-1::[IRIS 313-10355]",IRIS 313-10355,IRGC 126023,indx,0.0,A,A
"IR 67518-B-11-1-B::IRGC 117380-1::[IRIS 313-10371]",IRIS 313-10371,IRGC 126026,indx,0.0,A,A
"IR 70027-8-2-2-3-2::IRGC 117382-1::[IRIS 313-10375]",IRIS 313-10375,IRGC 126028,indx,0.0,A,A
"KEDOT::IRGC 66568-1::[IRIS 313-8291]",IRIS 313-8291,,ind3,0.0,A,A
"SAGNADE::IRGC 15801-1::[IRIS 313-8293]",IRIS 313-8293,IRGC 132432,ind3,0.0,A,A
"BATU::IRGC 71508-1::[IRIS 313-8312]",IRIS 313-8312,IRGC 131932,ind3,0.0,A,A
"ARC 10812::IRGC 21074-1::[IRIS 313-8386]",IRIS 313-8386,IRGC 126173,indx,0.0,A,A
"MARAGBE::IRGC 69263-1::[IRIS 313-8391]",IRIS 313-8391,,ind2,0.0,A,A
"NACHIN ER 12::IRGC 14146-1::[IRIS 313-8407]",IRIS 313-8407,,ind3,0.0,A,A
"SARA::IRGC 66631-1::[IRIS 313-8457]",IRIS 313-8457,,ind3,0.0,A,A
"CHAW GAM PRUED::IRGC 71103-1::[IRIS 313-8466]",IRIS 313-8466,,ind3,0.0,A,A
"LEONG ORN 4135::IRGC 14087-1::[IRIS 313-8468]",IRIS 313-8468,IRGC 126233,ind3,0.0,A,A
"MELABOH::IRGC 66597-1::[IRIS 313-8493]",IRIS 313-8493,IRGC 128537,ind3,0.0,A,A
"SERENDAH SUNGAI DUA 25::IRGC 13892-1::[IRIS 313-8557]",IRIS 313-8557,IRGC 131956,ind3,0.0,A,A
"ES 21::IRGC 56171-1::[IRIS 313-8571]",IRIS 313-8571,IRGC 126204,ind3,0.0,A,A
"SIAM ER 32::IRGC 13917-1::[IRIS 313-8591]",IRIS 313-8591,IRGC 135543,ind3,0.0,A,A
"MAKALIOKA STANDARD::IRGC 12768-1::[IRIS 313-8595]",IRIS 313-8595,IRGC 126240,ind2,0.0,A,A
"SI HAO NDURIA::IRGC 66649-1::[IRIS 313-8608]",IRIS 313-8608,IRGC 132385,ind3,0.0,A,A
"DAJA::IRGC 17440-1::[IRIS 313-8643]",IRIS 313-8643,IRGC 131935,ind3,0.0,A,A
"KOLITONDO::IRGC 66497-1::[IRIS 313-8681]",IRIS 313-8681,,ind3,0.0,A,A
"JOTA BITCHI 1::IRGC 77253-1::[IRIS 313-8683]",IRIS 313-8683,IRGC 135532,ind2,0.0,A,A
"KHAO PRAHJIN::IRGC 64420-1::[IRIS 313-8702]",IRIS 313-8702,,ind3,0.0,A,A
"DA 7::[IRIS 313-8703]",IRIS 313-8703,IRGC 124432,ind2,0.0,A,A
"NELI::IRGC 66603-1::[IRIS 313-8713]",IRIS 313-8713,IRGC 135538,ind3,0.0,A,A
"HAWM TOONG::IRGC 48007-1::[IRIS 313-8722]",IRIS 313-8722,,ind3,0.0,A,A
"PULUT BARAYA::IRGC 27393-1::[IRIS 313-8725]",IRIS 313-8725,IRGC 126262,ind3,0.0,A,A
"T 315::IRGC 54792-1::[IRIS 313-8727]",IRIS 313-8727,IRGC 126280,ind2,0.0,A,A
"HNANWA::IRGC 33118-1::[IRIS 313-8751]",IRIS 313-8751,IRGC 126209,ind3,0.0,A,A
"SIDIK::IRGC 66643-1::[IRIS 313-8767]",IRIS 313-8767,,ind3,0.0,A,A
"TAPANG::IRGC 13361-1::[IRIS 313-8781]",IRIS 313-8781,,ind3,0.0,A,A
"LEUANG AWN::IRGC 48257-1::[IRIS 313-8785]",IRIS 313-8785,,ind3,0.0,A,A
"KHAO THI RATE::IRGC 58041-1::[IRIS 313-8793]",IRIS 313-8793,IRGC 126223,ind3,0.0,A,A
"KATUNG::IRGC 71536-1::[IRIS 313-8811]",IRIS 313-8811,IRGC 131940,ind3,0.0,A,A
"KETAN KUNANG KUNENG::IRGC 48730-1::[IRIS 313-8831]",IRIS 313-8831,,ind3,0.0,A,A
"SIMET 2::IRGC 25734-1::[IRIS 313-8833]",IRIS 313-8833,IRGC 126142,ind3,0.0,A,A
"KHAO PLAH LAI NAK::IRGC 65941-1::[IRIS 313-8870]",IRIS 313-8870,,ind3,0.0,A,A
"AGAI 1::IRGC 24532-1::[IRIS 313-8922]",IRIS 313-8922,,ind2,0.0,A,A
"IE MATA CICEM::IRGC 66562-1::[IRIS 313-8978]",IRIS 313-8978,,ind3,0.0,A,A
"TJERE SUGI::IRGC 16650-1::[IRIS 313-9005]",IRIS 313-9005,IRGC 132376,ind3,0.0,A,A
"PATNAI 31-675::IRGC 38145-1::[IRIS 313-9049]",IRIS 313-9049,,ind2,0.0,A,A
"BIDAPIK::IRGC 43354-1::[IRIS 313-9054]",IRIS 313-9054,IRGC 131933,ind3,0.0,A,A
"CANTIK PAUN::IRGC 66538-1::[IRIS 313-9097]",IRIS 313-9097,,ind3,0.0,A,A
"SI MERIA::IRGC 66659-1::[IRIS 313-9098]",IRIS 313-9098,,ind3,0.0,A,A
"MANUS::IRGC 71570-1::[IRIS 313-9102]",IRIS 313-9102,,ind3,0.0,A,A
"BAJAR KUNING PAHIT::IRGC 17186-1::[IRIS 313-9117]",IRIS 313-9117,IRGC 131931,ind3,0.0,A,A
"DOC PHUNG D 12::IRGC 10234-1::[IRIS 313-9131]",IRIS 313-9131,IRGC 135749,ind3,0.0,A,A
"TUMBA::IRGC 66681-1::[IRIS 313-9188]",IRIS 313-9188,IRGC 126288,ind3,0.0,A,A
"TONG MAH::IRGC 65577-1::[IRIS 313-9288]",IRIS 313-9288,,ind3,0.0,A,A
"AUS 78-62::IRGC 69456-1::[IRIS 313-9294]",IRIS 313-9294,IRGC 131929,ind2,0.0,A,A
"PUTEH KACA::IRGC 66614-1::[IRIS 313-9310]",IRIS 313-9310,IRGC 131946,ind3,0.0,A,A
"KERITING TINGGI::IRGC 19972-1::[IRIS 313-9329]",IRIS 313-9329,IRGC 131941,ind3,0.0,A,A
"BHASAMANIK::IRGC 46954-1::[IRIS 313-9360]",IRIS 313-9360,,ind2,0.0,,A
"DUDHSWAR 15-141::IRGC 37951-1::[IRIS 313-9397]",IRIS 313-9397,,ind2,0.0,A,A
"PA FADAYA::IRGC 58524-1::[IRIS 313-9402]",IRIS 313-9402,IRGC 131944,indx,0.0,A,A
"LEUANG SAWED::IRGC 78268-1::[IRIS 313-9406]",IRIS 313-9406,,ind3,0.0,A,A
"RTS 16::IRGC 8235-1::[IRIS 313-9429]",IRIS 313-9429,IRGC 126309,indx,0.0,A,A
"ARC 15845::IRGC 42151-1::[IRIS 313-9619]",IRIS 313-9619,,indx,0.0,A,A
"AGEPDAUJSECAN::IRGC 49361-1::[IRIS 313-9685]",IRIS 313-9685,,indx,0.0,A,A
"UNGGUL::IRGC 71644-1::[IRIS 313-9694]",IRIS 313-9694,IRGC 131951,ind3,0.0,A,A
"SERAUP 27::IRGC 1-1::[IRIS 313-9699]",IRIS 313-9699,IRGC 132433,ind3,0.0,A,A
"PODIWEE::IRGC 11938-1::[IRIS 313-9831]",IRIS 313-9831,IRGC 125872,indx,0.0,A,A
"MEKENZIE SMALL::IRGC 49895-1::[IRIS 313-9935]",IRIS 313-9935,IRGC 126167,ind2,0.0,A,A
"SOLOMON RED RICE::IRGC 50950-1::[IRIS 313-9944]",IRIS 313-9944,IRGC 126312,indx,0.0,A,A
"EPEAL 102::IRGC 78698-1::[IRIS 313-10220]",IRIS 313-10220,IRGC 126203,indx,0.0,A,A
"ALTAMIRA 9::IRGC 116953-1::[IRIS 313-10257]",IRIS 313-10257,IRGC 127031,indx,0.0,A,A
"FONAIAP 2::IRGC 116985-1::[IRIS 313-10268]",IRIS 313-10268,IRGC 127072,indx,0.0,A,A
"3210::IRGC 116950-1::[IRIS 313-10298]",IRIS 313-10298,IRGC 127030,ind1B,0.0,A,A
"B 4414 F-MR-6-3::IRGC 117310-1::[IRIS 313-10332]",IRIS 313-10332,IRGC 126044,indx,0.0,A,A
"BR 4973-34-6-6::IRGC 117317-1::[IRIS 313-10340]",IRIS 313-10340,IRGC 127040,indx,0.0,A,A
"IR 52718-B-B-6-B-B-1-1::IRGC 117334-1::[IRIS 313-10357]",IRIS 313-10357,IRGC 126024,indx,0.0,A,A
"IR 77390-1-6-4-19-1-B::IRGC 117303-1::[IRIS 313-10392]",IRIS 313-10392,IRGC 127075,ind1B,0.0,A,A
"IRGA 318-11-9-2A::IRGC 117340-1::[IRIS 313-10398]",IRIS 313-10398,IRGC 126030,ind1B,0.0,A,A
"WAR 87-7-A10-2-B-B-B-1::IRGC 117362-1::[IRIS 313-10422]",IRIS 313-10422,,indx,0.0,A,A
"CODE NO 31323::IRGC 46907-1::[IRIS 313-9190]",IRIS 313-9190,IRGC 126148,indx,0.0,A,A
"MAE MAI LUD NI::IRGC 66065-1::[IRIS 313-9062]",IRIS 313-9062,IRGC 125831,ind3,0.0,A,A
"DAGPA MRAS::IRGC 62166-1::[IRIS 313-8486]",IRIS 313-8486,IRGC 127043,subtrop,0.0,A,A
"PAOTSUPAGAIAHON::IRGC 17072-1::[IRIS 313-8873]",IRIS 313-8873,IRGC 125867,admix,0.0,A,A
"CALIFORNIA BELLE::IRGC 66836-1::[IRIS 313-8923]",IRIS 313-8923,IRGC 125693,trop,0.0,A,A
"RIKUTO KEMOCHI::[IRIS 313-9523]",IRIS 313-9523,IRGC 117569,japx,0.0,A,A
"IRAT 118::IRGC 55785-1::[IRIS 313-9978]",IRIS 313-9978,,aro,0.0,A,A
"NONGLIMNA 1::IRGC 58347-1::[IRIS 313-9995]",IRIS 313-9995,IRGC 125857,trop,0.0,A,A
"M 203::IRGC 76309-1::[IRIS 313-8444]",IRIS 313-8444,IRGC 126118,temp,0.0,A,A
"M 7::IRGC 34281-1::[IRIS 313-8665]",IRIS 313-8665,IRGC 127058,temp,0.0,A,A
"CALROSE 76::IRGC 34275-1::[IRIS 313-8669]",IRIS 313-8669,IRGC 125604,japx,0.0,A,A
"NORIN 6::IRGC 2633-1::[IRIS 313-8755]",IRIS 313-8755,IRGC 126120,temp,0.0,A,A
"S 201::IRGC 55230-1::[IRIS 313-8856]",IRIS 313-8856,IRGC 125893,temp,0.0,A,A
"KOTOBUKI MOCHI::[IRIS 313-9002]",IRIS 313-9002,IRGC 117518,temp,0.0,A,A
"EAN 4 C 1::IRGC 26016-1::[IRIS 313-9193]",IRIS 313-9193,IRGC 125732,japx,0.0,A,A
"HOKUSETSU::IRGC 65705-1::[IRIS 313-9228]",IRIS 313-9228,IRGC 125764,temp,0.0,A,A
"CHUNG YI::IRGC 1427-1::[IRIS 313-9233]",IRIS 313-9233,IRGC 125709,temp,0.0,,A
"HWANGJO::IRGC 55547-1::[IRIS 313-9379]",IRIS 313-9379,IRGC 125768,temp,0.0,A,A
"CI 9498::IRGC 2134-1::[IRIS 313-9410]",IRIS 313-9410,IRGC 125712,temp,0.0,A,A
"CI 1600::IRGC 16305-1::[IRIS 313-9463]",IRIS 313-9463,IRGC 125710,temp,0.0,A,A
"NONG KE::IRGC 59807-1::[IRIS 313-9468]",IRIS 313-9468,IRGC 125856,temp,0.0,A,A
"JO SANG DAE YA::IRGC 90852-1::[IRIS 313-9698]",IRIS 313-9698,IRGC 125788,temp,0.0,A,A
"TAICHUNG 65::IRGC 79-1::[IRIS 313-9701]",IRIS 313-9701,IRGC 125911,temp,0.0,A,A
"TAICHUNG 179::IRGC 85-1::[IRIS 313-9702]",IRIS 313-9702,IRGC 125910,temp,0.0,A,A
"DA DAO TOU::IRGC 59499-1::[IRIS 313-9725]",IRIS 313-9725,IRGC 125718,temp,0.0,A,A
"MURASAHITSUTSURI::IRGC 2493-1::[IRIS 313-9769]",IRIS 313-9769,IRGC 125846,temp,0.0,A,A
"EGYPTIAN::IRGC 3217-1::[IRIS 313-9774]",IRIS 313-9774,IRGC 125629,japx,0.0,A,A
"BENLLOK::IRGC 3404-1::[IRIS 313-9782]",IRIS 313-9782,IRGC 127036,temp,0.0,A,A
"JAPONES BALILLA::IRGC 5785-1::[IRIS 313-9790]",IRIS 313-9790,IRGC 125781,temp,0.0,A,A
"SZANISZLO 2::IRGC 9353-1::[IRIS 313-9813]",IRIS 313-9813,IRGC 125908,temp,0.0,A,A
"TEPUKE::IRGC 12872-1::[IRIS 313-9838]",IRIS 313-9838,IRGC 125919,temp,0.0,A,A
"O. SATIVA::IRGC 12876-1::[IRIS 313-9839]",IRIS 313-9839,IRGC 125862,temp,0.0,A,A
"FUKUSHIMA MOCHI (GLUT)::IRGC 19296-1::[IRIS 313-9884]",IRIS 313-9884,IRGC 125743,temp,0.0,A,A
"HUK ZO::IRGC 19760-1::[IRIS 313-9886]",IRIS 313-9886,IRGC 125767,temp,0.0,A,A
"JEUK DO::IRGC 19775-1::[IRIS 313-9887]",IRIS 313-9887,IRGC 125784,temp,0.0,A,A
"WA BANG::IRGC 19880-1::[IRIS 313-9890]",IRIS 313-9890,IRGC 125934,temp,0.0,A,A
"YONG AN HUK::IRGC 19891-1::[IRIS 313-9891]",IRIS 313-9891,IRGC 125945,temp,0.0,A,A
"ROCCA::IRGC 50351-1::[IRIS 313-9937]",IRIS 313-9937,IRGC 125888,temp,0.0,A,A
"WIR 884::IRGC 51591-1::[IRIS 313-9961]",IRIS 313-9961,IRGC 125939,temp,0.0,,A
"WIR 1951::IRGC 51643-1::[IRIS 313-9964]",IRIS 313-9964,IRGC 125938,temp,0.0,A,A
"HEUKSANJO::IRGC 55536-1::[IRIS 313-9974]",IRIS 313-9974,IRGC 125761,temp,0.0,A,A
"SUWEON 295::IRGC 58368-1::[IRIS 313-9996]",IRIS 313-9996,IRGC 126990,temp,0.0,A,A
"SANT ANDREA::IRGC 65732-1::[IRIS 313-10014]",IRIS 313-10014,IRGC 125898,temp,0.0,A,A
"HOKURIKU 52::IRGC 72491-1::[IRIS 313-10056]",IRIS 313-10056,IRGC 125763,subtrop,0.0,A,A
"CHUGOKU 68 HEN::IRGC 72514-1::[IRIS 313-10057]",IRIS 313-10057,IRGC 125707,temp,0.0,A,A
"DACHEONGBYEO::IRGC 72533-1::[IRIS 313-10059]",IRIS 313-10059,IRGC 125717,temp,0.0,A,A
"BETIS::IRGC 74581-1::[IRIS 313-10083]",IRIS 313-10083,IRGC 125679,temp,0.0,A,A
"SENIA::IRGC 74582-1::[IRIS 313-10084]",IRIS 313-10084,IRGC 125899,temp,0.0,A,A
"KALIN::IRGC 77312-1::[IRIS 313-10089]",IRIS 313-10089,IRGC 125791,temp,0.0,A,A
"CHALBYEO::IRGC 77639-1::[IRIS 313-10092]",IRIS 313-10092,IRGC 125698,temp,0.0,A,A
"CHEONJUDO::IRGC 77644-1::[IRIS 313-10093]",IRIS 313-10093,IRGC 125700,temp,0.0,A,A
"MAEKJO::IRGC 77666-1::[IRIS 313-10097]",IRIS 313-10097,IRGC 125830,temp,0.0,A,A
"MOLO::IRGC 81603-1::[IRIS 313-10111]",IRIS 313-10111,IRGC 125843,japx,0.0,A,A
"GITANO::IRGC 82424-1::[IRIS 313-10119]",IRIS 313-10119,IRGC 125752,japx,0.0,A,A
"HAN NUO::IRGC 59591-1::[IRIS 313-10164]",IRIS 313-10164,IRGC 125757,temp,0.0,A,A
"IR 73688-57-2::IRGC 117383-1::[IRIS 313-10379]",IRIS 313-10379,IRGC 125980,temp,0.0,A,A
"IR 73690-7-2-1-1-3-2-2-1::IRGC 117384-1::[IRIS 313-10380]",IRIS 313-10380,IRGC 125981,aus,0.0,A,A
"DAN YAN NUO::IRGC 4860-1::[IRIS 313-8481]",IRIS 313-8481,IRGC 126198,temp,0.0,A,A
"H 305-84::IRGC 116988-1::[IRIS 313-10242]",IRIS 313-10242,IRGC 127074,temp,0.0,A,A
"BERGREIS::IRGC 3150-1::[IRIS 313-9771]",IRIS 313-9771,IRGC 126185,temp,0.0,A,A
"IR 68333-R-R-B-19::IRGC 117381-1::[IRIS 313-10373]",IRIS 313-10373,IRGC 126027,temp,0.0,A,A
"K 2 C 14::IRGC 68549-1::[IRIS 313-8277]",IRIS 313-8277,IRGC 126067,trop,0.0,A,A
"KATY::IRGC 77140-1::[IRIS 313-8285]",IRIS 313-8285,IRGC 125614,trop,0.0,A,A
"KAMJA::IRGC 62171-1::[IRIS 313-8302]",IRIS 313-8302,IRGC 126116,admix,0.0,A,A
"BOND::IRGC 66755-1::[IRIS 313-8339]",IRIS 313-8339,IRGC 125603,trop,0.0,A,A
"FU LI HONG::IRGC 70250-1::[IRIS 313-8387]",IRIS 313-8387,IRGC 125610,temp,0.0,A,A
"RIKUTO NORIN MOCHI 20::IRGC 410-1::[IRIS 313-8400]",IRIS 313-8400,IRGC 125622,trop,0.0,A,A
"TEBONNET::IRGC 66760-1::[IRIS 313-8434]",IRIS 313-8434,IRGC 125625,trop,0.0,A,A
"MANDASHERPO::IRGC 64913-1::[IRIS 313-8519]",IRIS 313-8519,IRGC 125995,subtrop,0.0,A,A
"BANJANG::IRGC 44069-1::[IRIS 313-8626]",IRIS 313-8626,IRGC 126045,trop,0.0,A,A
"TAI 6::IRGC 69058-1::[IRIS 313-8739]",IRIS 313-8739,IRGC 126090,admix,0.0,A,A
"MOROFIN::IRGC 56698-1::[IRIS 313-8768]",IRIS 313-8768,IRGC 127060,trop,0.0,A,A
"SUP BLUE ROSE::IRGC 1739-1::[IRIS 313-8778]",IRIS 313-8778,IRGC 126124,trop,0.0,A,A
"JANA (NAM)::IRGC 64897-1::[IRIS 313-8815]",IRIS 313-8815,IRGC 125780,subtrop,0.0,A,A
"KAMNAM::IRGC 64902-1::[IRIS 313-8857]",IRIS 313-8857,IRGC 125793,subtrop,0.0,A,A
"DELITUS::IRGC 5769-1::[IRIS 313-8876]",IRIS 313-8876,IRGC 125725,trop,0.0,A,A
"E WAWNG::IRGC 71140-1::[IRIS 313-8884]",IRIS 313-8884,IRGC 126134,subtrop,0.0,A,A
"LEKATAN::IRGC 71554-1::[IRIS 313-8894]",IRIS 313-8894,IRGC 126070,trop,0.0,A,A
"LASAT PUTIH::IRGC 44076-1::[IRIS 313-8955]",IRIS 313-8955,IRGC 126231,trop,0.0,A,A
"BLUEBONNET::IRGC 1799-1::[IRIS 313-8960]",IRIS 313-8960,IRGC 125688,trop,0.0,A,A
"SKY BONNET::IRGC 66759-1::[IRIS 313-8976]",IRIS 313-8976,IRGC 125902,trop,0.0,A,A
"LAYANDABU::IRGC 25214-1::[IRIS 313-9129]",IRIS 313-9129,IRGC 125820,trop,0.0,A,A
"ARC 11359::IRGC 21348-1::[IRIS 313-9176]",IRIS 313-9176,IRGC 125639,japx,0.0,A,A
"KORR::IRGC 30751-1::[IRIS 313-9297]",IRIS 313-9297,IRGC 126155,trop,0.0,A,A
"IMPROVED BLUE ROSE::IRGC 5022-1::[IRIS 313-9366]",IRIS 313-9366,IRGC 125771,japx,0.0,A,A
"PULUTAN::IRGC 71596-1::[IRIS 313-9375]",IRIS 313-9375,IRGC 125877,trop,0.0,A,A
"KINANDANG BUSIKSIK::IRGC 74607-1::[IRIS 313-9389]",IRIS 313-9389,IRGC 126982,trop,0.0,A,A
"INGSA BELANAK::IRGC 43402-1::[IRIS 313-9405]",IRIS 313-9405,IRGC 126059,trop,0.0,A,A
"AGUYOD::IRGC 67423-1::[IRIS 313-9423]",IRIS 313-9423,IRGC 125635,trop,0.0,A,A
"B 505 A 1-28-7-1-2::IRGC 6741-1::[IRIS 313-9452]",IRIS 313-9452,IRGC 125661,trop,0.0,A,A
"BLUE BELLE::IRGC 51125-1::[IRIS 313-9491]",IRIS 313-9491,IRGC 125685,trop,0.0,A,A
"DAGPA BARA::IRGC 64887-1::[IRIS 313-9529]",IRIS 313-9529,IRGC 125720,subtrop,0.0,A,A
"TEXAS PATNA 49::IRGC 6077-1::[IRIS 313-9539]",IRIS 313-9539,IRGC 125920,temp,0.0,A,A
